"station_id","station_name","station_address","lat","lon","source","create_year"
"74DA38F210AA","市立社子國小","臺北市士林區永倫里延平北路六段308號","25.089","121.503","Taipei18","2018"
"74DA38F209B2","屏東縣縣立僑德國小","[940]屏東縣枋寮鄉隆山村僑德路186號","22.363","120.599","Pingtung","2018"
"74DA38F20AF2","高雄市市立民族大愛國小","高雄市民族大愛國小 高雄市杉林區月眉里和氣街15號","22.964","120.539","Kaohsiung18","2018"
"74DA38F21054","高雄市市立新威國小","高雄市新威國小 高雄市六龜區新興里新威212號","22.898","120.627","Kaohsiung18","2018"
"74DA38F20A78","台東縣縣立龍田國小","[955]臺東縣鹿野鄉龍田村光榮路236號","22.904","121.124","Taitung","2018"
"08BEAC0A0090","臺中市立喀哩國小","臺中市烏日區溪南路二段370號","24.06201274","120.6426954","Taichung19","2019"
"74DA38C7D61A","新竹市立青草湖國小","[300]新竹市東區明湖路1211號","24.769","120.978","Hsinchu","2017"
"74DA38F20CA2","新竹縣縣立山崎國小","[304]新竹縣新豐鄉新興路291號","24.877","120.998","HsinchuCounty","2018"
"74DA38F20D36","苗栗縣縣立造橋國中","[361]苗栗縣造橋鄉造橋村1鄰老庄27號","24.639","120.863","Miaoli","2018"
"74DA38F20F90","澎湖縣縣立文澳國小","[880]澎湖縣馬公市西文里文學路221號","23.564","119.583","Penghu","2018"
"74DA38F20C96","高雄市市立小坪國小","高雄市小坪國小 高雄市大樹區小坪路73號","22.681","120.412","Kaohsiung18","2018"
"08BEAC0A014E","臺中市立崇光國小","臺中市大里區大明路181號","24.11457406","120.6850045","Taichung19","2019"
"74DA38F20F5E","市立康寧國小","臺北市內湖區清白里星雲街121號","25.08","121.594","Taipei18","2018"
"74DA38F7C436","新北市深坑國小","N/A","25.001","121.618","NewTaipei18","2018"
"74DA38F2117A","台東縣振興分校","[958]台東縣池上鄉振興村6鄰36號","23.043","121.195","Taitung","2018"
"74DA38F20C98","新竹縣縣立新城國小","[308]新竹縣寶山鄉寶新路二段475號","24.733","120.967","HsinchuCounty","2018"
"74DA38F20D46","新竹縣縣立芎林國小","[307]新竹縣芎林鄉文林村四鄰文山路288號","24.733","121.093","HsinchuCounty","2018"
"08BEAC0A0316","臺南市市立青山國小","臺南市東山區青山里16號","23.2806719","120.4672546","Tainan19","2019"
"74DA38F20932","苗栗縣縣立烏眉國小","[357]苗栗縣通霄鎮烏眉里3鄰39號","24.51","120.72","Miaoli","2018"
"74DA38F20854","宜蘭縣四季國小英士分校","[267]宜蘭縣大同鄉梵梵巷100號","24.612","121.525","Ilan","2018"
"74DA38F21036","新竹縣縣立十興國小","[302]新竹縣竹北市莊敬北路66號","24.823","121.024","HsinchuCounty","2018"
"74DA38C7D606","新竹市立舊社國小","[300]新竹市北區金竹路99號","24.822","120.973","Hsinchu","2017"
"74DA38F7C39C","新北市烏來幼兒園","N/A","24.863","121.547","NewTaipei18","2018"
"74DA38F208CA","宜蘭縣縣立力行國小","[260]宜蘭縣宜蘭市力行路152號","24.763","121.755","Ilan","2018"
"08BEAC0A04B6","臺南市市立大灣國小","臺南市永康區大灣路283號","23.0055065155","120.267425537","Tainan19","2019"
"08BEAC0A0898","桃園市市立大坡國小","桃園市新屋區大坡里五鄰5號","24.95765475","121.0402594","Taoyuan19","2019"
"74DA38ED05B2","花蓮縣立三棧國小","[972]花蓮縣秀林鄉景美村三棧102號","24.102","121.606","Hualien","2018"
"74DA38ED04EC","花蓮縣立瑞穗國小","[978]花蓮縣瑞穗鄉溫泉路一段19號","23.497","121.373","Hualien","2018"
"74DA38F7C56E","新北市三芝國中","N/A","25.259","121.501","NewTaipei18","2018"
"74DA38ED05B0","花蓮縣立馬遠國小","[979]花蓮縣萬榮鄉馬遠村39號","23.576","121.361","Hualien","2018"
"74DA38F20A6A","屏東縣縣立西勢國小","[911]屏東縣竹田鄉西勢村光明路8之1號","22.621","120.525","Pingtung","2018"
"74DA38F20E0A","高雄市市立中芸國中","高雄市立中芸國民中學 高雄市林園區中芸里中芸路3-100號","22.485","120.395","Kaohsiung18","2018"
"08BEAC0A03FC","臺中市立東海國小","臺中市西屯區福聯里國際街75號","24.18456815","120.5929182","Taichung19","2019"
"08BEAC0A0874","桃園市市立山腳國小","桃園市蘆竹區南山路三段440號","25.08838924","121.2875087","Taoyuan19","2019"
"08BEAC0A0876","臺南市市立大成國小","臺南市善化區大成路385號","23.1264379","120.2957977","Tainan19","2019"
"08BEAC09FF16","臺中市立僑忠國小","臺中市潭子區中山路二段31號","24.20236354","120.7032586","Taichung19","2019"
"74DA38F209B6","台東縣縣立三和國小","[963]臺東縣太麻里鄉三和村漁場94號","22.672","121.037","Taitung","2018"
"08BEAC09FF18","臺中市立豐原高商","臺中市豐原區圓環南路50號","24.24657","120.7145","Taichung19","2019"
"74DA38F20E10","新竹縣縣立竹東國小","[310]新竹縣竹東鎮康寧街1號","24.735","121.088","HsinchuCounty","2018"
"74DA38F21058","高雄市市立新民國小","高雄市新民國小 高雄市左營區自由三路478號","22.676","120.313","Kaohsiung18","2018"
"08BEAC0A0878","桃園市市立光明國小","桃園市蘆竹區南興里三鄰南昌路255號","25.04122431","121.2907674","Taoyuan19","2019"
"74DA38F20ADA","屏東縣縣立社皮國小","[913]屏東縣萬丹鄉社口村社皮路2段550號","22.614","120.468","Pingtung","2018"
"08BEAC0A086C","桃園市市立會稽國中","桃園市桃園區大興路222號","25.01745469","121.3126967","Taoyuan19","2019"
"74DA38F207EE","苗栗縣縣立福基國小","[363]苗栗縣公館鄉福基村275號","24.468","120.832","Miaoli","2018"
"74DA38C7D46C","嘉義市立文雅國小","[600]嘉義市東區盧厝里11鄰文雅街2號","23.483","120.487","Chiayi","2017"
"74DA38F20B64","苗栗縣縣立鶴岡國中","[363]苗栗縣公館鄉鶴岡村178號","24.528","120.83","Miaoli","2018"
"74DA38F7C39E","新北市新店幼兒園","N/A","24.987","121.521","NewTaipei18","2018"
"74DA38F2118C","澎湖縣縣立大池國小","[881]澎湖縣西嶼鄉大池村129號","23.614","119.513","Penghu","2018"
"74DA38F7C442","新北市達觀國中","N/A","24.953","121.5","NewTaipei18","2018"
"74DA38F7C31C","新北市安溪國小","N/A","24.93","121.372","NewTaipei18","2018"
"08BEAC09FFF4","臺中市立六寶國小","臺中市大雅區光復路15之2號","24.2387123","120.6358958","Taichung19","2019"
"74DA38F20A8A","屏東縣縣立三多國小","[904]屏東縣九如鄉三塊村三民路307號","22.748","120.485","Pingtung","2018"
"08BEAC0A05D4","嘉義縣縣立新美國小","嘉義縣阿里山鄉新美村四鄰78號","23.33856967","120.6831187","ChiayiCounty19","2019"
"08BEAC0A06F4","臺南市市立安定國中","臺南市安定區安加里262之1號","23.1142768","120.2335345","Tainan19","2019"
"74DA38F20BDA","新竹縣縣立雙溪國小","[308]新竹縣寶山鄉雙園路二段310號","24.765","120.99","HsinchuCounty","2018"
"74DA38F20AFC","高雄市市立鳳甲國中","高雄市立鳳甲國民中學 高雄市新強里鳳山區輜汽路300號","22.616","120.342","Kaohsiung18","2018"
"08BEAC09FFB8","桃園市市立忠貞國小","桃園市平鎮區龍興里龍南路315號","24.92321741","121.2502156","Taoyuan19","2019"
"74DA38F20828","宜蘭縣縣立員山國小","[264]宜蘭縣員山鄉員山村復興路39號","24.743","121.722","Ilan","2018"
"74DA38F20CAE","台東縣縣立岩灣國小","[950]臺東縣臺東市岩灣路50巷401弄11號","22.806","121.124","Taitung","2018"
"74DA38F208D0","宜蘭縣縣立成功國小","[265]宜蘭縣羅東鎮興東南路100號","24.671","121.768","Ilan","2018"
"74DA38F20E8C","苗栗縣縣立卓蘭國小","[369]苗栗縣卓蘭鎮新厝里中山路125號","24.312","120.824","Miaoli","2018"
"74DA38F7C5E2","新北市貢寮國小","N/A","25.021","121.915","NewTaipei18","2018"
"74DA38C7D492","金門縣立正義國小","[891]金門縣金湖鎮正義里成功129號","24.439","118.388","Kinmen","2017"
"74DA38C7D530","新竹市立港南國小","[300]新竹市香山區海埔路171巷91號","24.814","120.922","Hsinchu","2017"
"74DA38F7C444","新北市烏來國中","N/A","24.863","121.553","NewTaipei18","2018"
"74DA38F20BBC","高雄市市立竹圍國小","高雄市竹圍國小 高雄市岡山區竹圍里大仁北路1號","22.803","120.302","Kaohsiung18","2018"
"08BEAC0A02D4","雲林縣縣立中溪國小","雲林縣虎尾鎮頂溪里過溪路六四號","23.72657902","120.4635585","Yunlin19","2019"
"08BEAC0A03E0","桃園市市立三和國小","桃園市龍潭區龍新路三和段1356號","24.8481239687","121.16799362","Taoyuan19","2019"
"08BEAC0A02D6","嘉義縣縣立網寮國小","嘉義縣東石鄉網寮村27號","23.431384","120.156914","ChiayiCounty19","2019"
"74DA38F211BA","屏東縣縣立舊寮國小","[906]屏東縣高樹鄉舊寮村長美路42號","22.848","120.61","Pingtung","2018"
"74DA38F208BA","宜蘭縣縣立三星國小","[266]宜蘭縣三星鄉三星路五段86號","24.666","121.65","Ilan","2018"
"74DA38F7C44A","新北市三峽國小","N/A","24.935","121.367","NewTaipei18","2018"
"08BEAC0A00DC","臺南市市立東山國小","臺南市東山區東中里青葉路二段49號","23.3232545761","120.404803567","Tainan19","2019"
"74DA38F20B66","苗栗縣縣立建國國小","[351]苗栗縣頭份市建國路80號","24.695","120.912","Miaoli","2018"
"74DA38F208E0","宜蘭縣縣立南安國小","[270]宜蘭縣蘇澳鎮南建里學府路122號","24.579","121.868","Ilan","2018"
"74DA38F207EC","苗栗縣縣立大同國小","[360]苗栗縣苗栗市高苗里大同路80號","24.552","120.814","Miaoli","2018"
"74DA38ED0630","花蓮縣立明廉國小","[970]花蓮縣花蓮市中山路903號","23.994","121.594","Hualien","2018"
"74DA38F7C44C","新北市中泰國小","N/A","25.224","121.484","NewTaipei18","2018"
"74DA38F20848","宜蘭縣縣立七賢國小","[264]宜蘭縣員山鄉浮洲路30號","24.719","121.743","Ilan","2018"
"74DA38F20B08","高雄市市立興中國小","高雄市興中國小 高雄市桃源區高中里興中巷44號","23.128","120.718","Kaohsiung18","2018"
"74DA38F20952","新竹縣縣立鳳岡國中","[302]新竹縣竹北市大義里鳳岡路三段100號","24.864","120.965","HsinchuCounty","2018"
"74DA38F20B9E","苗栗縣縣立客庄國小","[358]苗栗縣苑裡鎮客庄里新興路21號","24.439","120.654","Miaoli","2018"
"74DA38F20F10","高雄市市立吉東國小","高雄市吉東國小 高雄市美濃區吉東里吉頂19號","22.853","120.546","Kaohsiung18","2018"
"74DA38F2100A","高雄市市立廣興國小","高雄市廣興國小 高雄市美濃區興隆里廣興街124號","22.917","120.567","Kaohsiung18","2018"
"08BEAC0A043A","桃園市市立信義國小","桃園市中壢區信義里成都路55號","24.95082166","121.2316066","Taoyuan19","2019"
"74DA38F20FDC","屏東縣縣立鹽洲國小","[932]屏東縣新園鄉鹽埔村鹽洲路379號","22.488","120.44","Pingtung","2018"
"08BEAC09FF2A","桃園市市立富台國小","桃園市中壢區中山東路三段369號","24.94210666","121.252075","Taoyuan19","2019"
"74DA38F20E5A","宜蘭縣縣立四季國小","[267]宜蘭縣大同鄉四季村和勳巷1號","24.488","121.426","Ilan","2018"
"74DA38F208F4","苗栗縣縣立鯉魚國小","[367]苗栗縣三義鄉鯉魚潭村上山下24號","24.343","120.767","Miaoli","2018"
"08BEAC0A0048","臺中市立岸裡國小","臺中市神岡區岸裡里中山路52號","24.24967999","120.6968633","Taichung19","2019"
"74DA38F7C61A","市立光復國小","臺北市信義區光復南路271號","25.041","121.565","Taipei18","2018"
